Code,Title,Description,Extension
expressionOfInterest,Expression of interest,"A submission made by a potential supplier describing its qualifications, for the purpose of being invited to submit a bid. This submission is also called a request to participate.",Bids and expressions of interest
bid,Bid,"A submission made by a potential supplier describing its offer, for the purpose of being awarded a contract. Depending on the procedure, a bid can be an estimate, offer, proposal, quote or quotation.",Bids and expressions of interest
